id,2,3,1,4,5,6,8,7,10,14,15,12,13,9
2,1.0000001,0.087188065,0.0,0.03175949,0.07291793,0.07344983,0.0,0.0,0.0,0.033668473,0.0,0.02302238,0.022643143,0.0
3,0.087188065,1.0,0.0,0.08244969,0.08183927,0.18443494,0.0,0.0,0.0,0.030622814,0.0,0.025113864,0.024700174,0.0
1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.03175949,0.08244969,0.0,1.0,0.059622232,0.03002857,0.0,0.027470695,0.025688063,0.0,0.0,0.0,0.0,0.023254441
5,0.07291793,0.08183927,0.0,0.059622232,0.9999999,0.11954679,0.0,0.031535555,0.029489145,0.0,0.0,0.021610009,0.021254037,0.026695417
6,0.07344983,0.18443494,0.0,0.03002857,0.11954679,0.9999999,0.0,0.0,0.0,0.0,0.0,0.047874406,0.04708579,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.9999998,0.10290539,0.0,0.0,0.0,0.0,0.0,0.04355564
7,0.0,0.0,0.0,0.027470695,0.031535555,0.0,0.10290539,0.99999994,0.027174002,0.0,0.0,0.0,0.0,0.024599606
10,0.0,0.0,0.0,0.025688063,0.029489145,0.0,0.0,0.027174002,1.0,0.0,0.0,0.0,0.0,0.19361974
14,0.033668473,0.030622814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000001,0.3340159,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3340159,1.0000001,0.0,0.0,0.0
12,0.02302238,0.025113864,0.0,0.0,0.021610009,0.047874406,0.0,0.0,0.0,0.0,0.0,1.0000002,0.95030653,0.0
13,0.022643143,0.024700174,0.0,0.0,0.021254037,0.04708579,0.0,0.0,0.0,0.0,0.0,0.95030653,0.9999995,0.0
9,0.0,0.0,0.0,0.023254441,0.026695417,0.0,0.04355564,0.024599606,0.19361974,0.0,0.0,0.0,0.0,1.0
